#  
6.877953785829929792e-03,6.379051039484761113e-03
6.474022231743396458e-03,7.148413995795253710e-03
6.125043362895796900e-03,6.722578914475163883e-03
1.181657884738267390e-02,1.427647790183649186e-02
9.909210534432451312e-03,9.512961733600999725e-03
7.897982758009348681e-01,7.803661817344326179e-01
5.110247259957496208e-02,5.785547307697497255e-02
5.615368393023636301e-02,5.756145539475679418e-02
1.836889054800933813e-02,1.421388227345365962e-02
4.337386835896006598e-02,4.596352393518930712e-02
